dt,date,airtemp,wind_speed,rh
2023-03-01T08:00:00Z,2023-03-01,41.62,6.75,96.5
2023-03-01T08:10:00Z,2023-03-01,41.77,9.92,96.5
2023-03-01T08:20:00Z,2023-03-01,41.68,8.99,96.2
2023-03-01T08:30:00Z,2023-03-01,41.54,10.37,95.9
2023-03-01T08:40:00Z,2023-03-01,41.67,11.66,95.7
2023-03-01T08:50:00Z,2023-03-01,41.86,11.27,95.6
2023-03-01T09:00:00Z,2023-03-01,41.96,12.26,96
2023-03-01T09:10:00Z,2023-03-01,41.83,12.77,96.1
2023-03-01T09:20:00Z,2023-03-01,41.97,12.33,95.7
2023-03-01T09:30:00Z,2023-03-01,42.11,11.02,96.3
2023-03-01T09:40:00Z,2023-03-01,42.21,10.8,96.9
2023-03-01T09:50:00Z,2023-03-01,42.22,11.35,97.4
2023-03-01T10:00:00Z,2023-03-01,42.38,15.58,97.7
2023-03-01T10:10:00Z,2023-03-01,42.53,16.13,96.7
2023-03-01T10:20:00Z,2023-03-01,42.59,15.44,96.4
2023-03-01T10:30:00Z,2023-03-01,42.7,15.75,97.6
2023-03-01T10:40:00Z,2023-03-01,42.84,15.62,98.1
2023-03-01T10:50:00Z,2023-03-01,42.83,13.02,98.1
2023-03-01T11:00:00Z,2023-03-01,42.91,12.22,98.4
2023-03-01T11:10:00Z,2023-03-01,43.03,14.56,98.4
2023-03-01T11:20:00Z,2023-03-01,43.02,12.1,98.3
2023-03-01T11:30:00Z,2023-03-01,42.97,11.67,98.6
2023-03-01T11:40:00Z,2023-03-01,42.74,11.07,98.2
2023-03-01T11:50:00Z,2023-03-01,42.89,12.22,98
2023-03-01T12:00:00Z,2023-03-01,42.84,14.75,96.6
2023-03-01T12:10:00Z,2023-03-01,42.91,14.09,95.6
2023-03-01T12:20:00Z,2023-03-01,42.86,12.37,95.8
2023-03-01T12:30:00Z,2023-03-01,43.15,16.68,96.6
2023-03-01T12:40:00Z,2023-03-01,43.27,18.03,96.6
2023-03-01T12:50:00Z,2023-03-01,43.28,16.75,97.2
2023-03-01T13:00:00Z,2023-03-01,43.24,14.78,98.1
2023-03-01T13:10:00Z,2023-03-01,42.96,16.79,98.5
2023-03-01T13:20:00Z,2023-03-01,42.76,18.27,97.2
2023-03-01T13:30:00Z,2023-03-01,42.92,15.95,95.3
2023-03-01T13:40:00Z,2023-03-01,43.03,15.09,95.1
2023-03-01T13:50:00Z,2023-03-01,43.07,15.89,95.3
2023-03-01T14:00:00Z,2023-03-01,43.01,17.14,95.8
2023-03-01T14:10:00Z,2023-03-01,42.96,17.69,95.2
2023-03-01T14:20:00Z,2023-03-01,43.5,18.01,96.6
2023-03-01T14:30:00Z,2023-03-01,43.39,16.15,98.1
2023-03-01T14:40:00Z,2023-03-01,43.31,17.73,99.2
2023-03-01T14:50:00Z,2023-03-01,43.4,21.82,99.4
2023-03-01T15:00:00Z,2023-03-01,43.37,18.03,99.1
2023-03-01T15:10:00Z,2023-03-01,43.45,19.15,99.2
2023-03-01T15:20:00Z,2023-03-01,43.59,23.44,98.7
2023-03-01T15:30:00Z,2023-03-01,43.79,23.9,97.6
2023-03-01T15:40:00Z,2023-03-01,43.83,21.01,97.4
2023-03-01T15:50:00Z,2023-03-01,43.73,20.07,97.8
2023-03-01T16:00:00Z,2023-03-01,44,21.86,97.4
2023-03-01T16:10:00Z,2023-03-01,44.2,16.4,97.1
2023-03-01T16:20:00Z,2023-03-01,43.74,14.23,97.9
2023-03-01T16:30:00Z,2023-03-01,42.5,14.93,98.5
2023-03-01T16:40:00Z,2023-03-01,42.09,13.82,99.3
2023-03-01T16:50:00Z,2023-03-01,42.16,14.9,99.8
2023-03-01T17:00:00Z,2023-03-01,42.21,13.08,100
2023-03-01T17:10:00Z,2023-03-01,42.21,14.09,100
2023-03-01T17:20:00Z,2023-03-01,42.23,14.68,100
2023-03-01T17:30:00Z,2023-03-01,42.53,15.15,100
2023-03-01T17:40:00Z,2023-03-01,42.81,15.24,100
2023-03-01T17:50:00Z,2023-03-01,42.98,16.83,100
2023-03-01T18:00:00Z,2023-03-01,42.89,18.5,100
2023-03-01T18:10:00Z,2023-03-01,42.88,17.36,99.8
2023-03-01T18:20:00Z,2023-03-01,43.12,16.56,99.3
2023-03-01T18:30:00Z,2023-03-01,43.27,16.5,98.8
2023-03-01T18:40:00Z,2023-03-01,43.22,15.35,98.4
2023-03-01T18:50:00Z,2023-03-01,43.23,16.48,98.3
2023-03-01T19:00:00Z,2023-03-01,43.11,15.57,97.7
2023-03-01T19:10:00Z,2023-03-01,43.71,15.66,97.6
2023-03-01T19:20:00Z,2023-03-01,43.74,18.82,96.6
2023-03-01T19:30:00Z,2023-03-01,42.34,11.31,95.6
2023-03-01T19:40:00Z,2023-03-01,39.78,5.99,96.9
2023-03-01T19:50:00Z,2023-03-01,39.67,13.4,97.5
2023-03-01T20:00:00Z,2023-03-01,39.47,11.57,97.8
2023-03-01T20:10:00Z,2023-03-01,39.95,10.21,98
2023-03-01T20:20:00Z,2023-03-01,39.58,9.8,97.7
2023-03-01T20:30:00Z,2023-03-01,37.68,9.04,97.2
2023-03-01T20:40:00Z,2023-03-01,37.39,8.46,97.6
2023-03-01T20:50:00Z,2023-03-01,37.35,11.15,97.8
2023-03-01T21:00:00Z,2023-03-01,36.94,6.87,97.9
2023-03-01T21:10:00Z,2023-03-01,36.9,9.99,98.3
2023-03-01T21:20:00Z,2023-03-01,36.25,7.35,98.2
2023-03-01T21:30:00Z,2023-03-01,36.36,8.64,98
