stn_id,date,tmax_f,tmin_f,precip_in
227,2023-01-01,57.7,34.6,0
227,2023-01-02,48.3,33.6,0.59
227,2023-01-03,51.6,39.6,0.03
227,2023-01-04,63.5,41.4,0.27
227,2023-01-05,54.3,44,1.21
227,2023-01-06,56.1,38.6,0
227,2023-01-07,61.2,42.9,0.14
227,2023-01-08,57,45.5,0.26
227,2023-01-09,54.4,43,1
227,2023-01-10,55.9,42.6,0.72
227,2023-01-11,53.2,44.6,0.16
227,2023-01-12,64.2,46.9,0.02
227,2023-01-13,61.5,47.3,1.34
227,2023-01-14,51.6,42.9,1.51
227,2023-01-15,47.8,40.8,0.19
227,2023-01-16,46.8,37.3,1.9
227,2023-01-17,48.8,33.8,0.02
227,2023-01-18,50.6,32,0.19
227,2023-01-19,49.4,30.4,0.2
227,2023-01-20,48.4,29.3,0
227,2023-01-21,52.2,31.1,0
227,2023-01-22,55.3,32.3,0
227,2023-01-23,54.1,30.3,0
227,2023-01-24,56.6,31.5,0
227,2023-01-25,59.4,33.5,0
227,2023-01-26,59.7,36,0
227,2023-01-27,57.1,37.2,0
227,2023-01-28,56.9,33.8,0
227,2023-01-29,43.2,31.6,0.01
227,2023-01-30,49.7,28.7,0
227,2023-01-31,51.4,29,0
227,2023-02-01,54.8,31.9,0
227,2023-02-02,58.5,34.8,0
227,2023-02-03,58.1,39.7,0.01
227,2023-02-04,62.7,36.7,0.37
227,2023-02-05,50.2,34.2,0.3
227,2023-02-06,55.4,31.1,0
227,2023-02-07,55.8,33.3,0
227,2023-02-08,58.2,37.1,0
227,2023-02-09,62.1,38.8,0
227,2023-02-10,59.4,39.6,0
227,2023-02-11,52.1,31.9,0
227,2023-02-12,66.1,36.3,0
227,2023-02-13,59,36.3,0
227,2023-02-14,46.5,28.2,0
227,2023-02-15,53.4,28.7,0
227,2023-02-16,54.7,29.8,0
227,2023-02-17,56.8,30.6,0
227,2023-02-18,58.7,33.1,0
227,2023-02-19,58.6,35.7,0
227,2023-02-20,62.5,37.4,0
227,2023-02-21,57.5,29.8,0
227,2023-02-22,46,26.9,0.04
227,2023-02-23,42.4,33,0.07
227,2023-02-24,41.6,32.6,1.31
227,2023-02-25,41.8,34.2,0.07
227,2023-02-26,43.5,37.2,0.51
227,2023-02-27,40,32.6,0.98
227,2023-02-28,39.4,34,0.91
227,2023-03-01,50.2,29.8,0.01
227,2023-03-02,51.6,28.7,0
227,2023-03-03,54.9,34.5,0
227,2023-03-04,45.3,36,0.15
227,2023-03-05,45.6,32.3,0.62
227,2023-03-06,48.6,33.4,0.04
227,2023-03-07,49.5,35.4,0.02
227,2023-03-08,50.3,33.7,0.26
227,2023-03-09,50.6,32.8,0.73
227,2023-03-10,53.1,45.1,1.04
227,2023-03-11,57.4,44,0.47
